Skill,course_title,course_url
Android (mobile operating systems),IBM iOS and Android Mobile App Developer,https://www.coursera.org/professional-certificates/ibm-ios-android-mobile-app-developer-pc
Angular,Angular 17,https://www.coursera.org/specializations/angular17
Ansible,Fundamentals of Ansible,https://www.coursera.org/learn/fundamentals-of-ansible
Apache Maven,IBM Java Developer,https://www.coursera.org/professional-certificates/java-developer
Apache Tomcat,IBM Data Engineering,https://www.coursera.org/professional-certificates/ibm-data-engineer
Assembly (computer programming),Python for Everybody,https://www.coursera.org/specializations/python
Assisting and Caring for Others,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Backbox (penetration testing tool),IBM Cybersecurity Analyst,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst
BlackArch,Six Sigma Black Belt,https://www.coursera.org/specializations/six-sigma-black-belt
BlackBerry,IBM iOS and Android Mobile App Developer,https://www.coursera.org/professional-certificates/ibm-ios-android-mobile-app-developer-pc
Brightspace (learning management systems),Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
C#,Introductory C Programming,https://www.coursera.org/specializations/c-programming
C++,Introductory C Programming,https://www.coursera.org/specializations/c-programming
CA Datacom/DB,Google Cloud Database Engineer,https://www.coursera.org/specializations/google-cloud-database-engineer
CAD for footwear,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
CAD for garment manufacturing,Digital Manufacturing & Design Technology,https://www.coursera.org/specializations/digital-manufacturing-design-technology
CAD software,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
CADD software,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
CAE software,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
CAM software,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
COBOL,IBM Mainframe Developer,https://www.coursera.org/professional-certificates/ibm-mainframe-developer
CSS,"Introduction to HTML, CSS, & JavaScript",https://www.coursera.org/learn/introduction-html-css-javascript
Cain and Abel (penetration testing tool),"Penetration Testing, Threat Hunting, and Cryptography",https://www.coursera.org/learn/ibm-penetration-testing-threat-hunting-cryptography
Canvas (learning management systems),Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
Capture One,IBM DevOps and Software Engineering,https://www.coursera.org/professional-certificates/devops-and-software-engineering
Chef (tools for software configuration management),Software Product Management,https://www.coursera.org/specializations/product-management
Cisco,Network Automation Engineering Fundamentals,https://www.coursera.org/specializations/networkautomation
Coaching and Developing Others,Coaching Skills for Managers,https://www.coursera.org/specializations/coaching-skills-manager
Codenvy,Python for Everybody,https://www.coursera.org/specializations/python
CoffeeScript,IBM Full-Stack JavaScript Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer
Common Lisp,Python for Everybody,https://www.coursera.org/specializations/python
Communicating with People Outside the Organization,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
"Communicating with Supervisors, Peers, or Subordinates",Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
Complex Problem Solving,Effective Problem-Solving and Decision-Making,https://www.coursera.org/learn/problem-solving
Computer Assisted Language Learning,Deep Learning,https://www.coursera.org/specializations/deep-learning
Controlling Machines and Processes,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Coordinating the Work and Activities of Others,Leading People and Teams,https://www.coursera.org/specializations/leading-teams
Coordination,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
Critical Thinking,Introduction to Logic and Critical Thinking,https://www.coursera.org/specializations/logic-critical-thinking-duke
CryEngine,Generative AI for Software Developers,https://www.coursera.org/specializations/generative-ai-for-software-developers
DB2,IBM Relational Database Administrator,https://www.coursera.org/professional-certificates/ibm-relational-database-administrator
DevOps,DevOps Mastery,https://www.coursera.org/specializations/devops-mastery
Developing Objectives and Strategies,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Developing and Building Teams,Leading People and Teams,https://www.coursera.org/specializations/leading-teams
Documenting/Recording Information,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",Google IT Support,https://www.coursera.org/professional-certificates/google-it-support
Drupal,Desarrollador front-end de Meta,https://www.coursera.org/professional-certificates/meta-front-end-developer-es
Earth science,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Eclipse (integrated development environment software),IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
Edmodo,Large Language Model Operations (LLMOps),https://www.coursera.org/specializations/large-language-model-operations
Engrade,"TESOL Certificate, Part 1: Teach English Now!",https://www.coursera.org/specializations/tesol
Equipment Maintenance,Construction Equipment Maintenance & Safety,https://www.coursera.org/learn/construction-equipment-maintenance--safety
Equipment Selection,Key Technologies for Business,https://www.coursera.org/specializations/key-technologies-for-business
Erlang,C and Go: Classical and Modern Programming,https://www.coursera.org/specializations/c-and-go
Establishing and Maintaining Interpersonal Relationships,The Arts and Science of Relationships: Understanding Human Needs,https://www.coursera.org/learn/human-needs
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
European pesticide legislation,EU policy and implementation: making Europe work!,https://www.coursera.org/learn/eu-making-europe-work
Evaluating Information to Determine Compliance with Standards,Regulatory Compliance,https://www.coursera.org/specializations/regulatory-compliance
Filemaker (database management systems),Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
Frostbite (digital game creation systems),Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
GDPR,The ABC's of GDPR: Protecting Privacy in an Online World,https://www.coursera.org/learn/the-abcs-of-gdpr-protecting-privacy-in-an-online-world
GIMP (graphics editor software),Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
GameSalad,Epic Games Game Design,https://www.coursera.org/professional-certificates/epic-games-game-design-professional-certificate
Gamemaker Studio,Creating Business Value with Data and Looker,https://www.coursera.org/specializations/creating-business-value-with-data-and-looker
Getting Information,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
Groovy,Gemini for Google Workspace,https://www.coursera.org/specializations/gemini-for-google-workspace
Grovo,The Art of Visual Storytelling,https://www.coursera.org/specializations/the-art-of-visual-storytelling
"Guiding, Directing, and Motivating Subordinates",Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Hadoop,Big Data,https://www.coursera.org/specializations/big-data
Handling and Moving Objects,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Haskell,"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai
Havok Vision,Deep Learning,https://www.coursera.org/specializations/deep-learning
HeroEngine,Architecting with Google Kubernetes Engine,https://www.coursera.org/specializations/architecting-google-kubernetes-engine
IBM InfoSphere DataStage,IBM Data Analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst
IBM InfoSphere Information Server,IBM Data Engineering,https://www.coursera.org/professional-certificates/ibm-data-engineer
IBM Informix,IBM Data Analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst
IBM WebSphere,IBM Cybersecurity Analyst,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst
ICT accessibility standards,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
ICT architectural frameworks,IBM Generative AI Engineering,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering
ICT capacity planning strategies,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
ICT communications protocols,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
ICT debugging tools,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
ICT encryption,Java Programming and Software Engineering Fundamentals,https://www.coursera.org/specializations/java-programming
ICT environmental policies,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
ICT hardware specifications,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support
ICT help platforms,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support
ICT infrastructure,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support
ICT market,Market Research,https://www.coursera.org/specializations/market-research
ICT network cable limitations,Deep Learning,https://www.coursera.org/specializations/deep-learning
ICT network routing,Deep Learning,https://www.coursera.org/specializations/deep-learning
ICT network security risks,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
ICT network simulation,Deep Learning,https://www.coursera.org/specializations/deep-learning
ICT networking hardware,The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking
ICT performance analysis methods,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
ICT power consumption,Microsoft Power BI Data Analyst,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
ICT problem management techniques,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
ICT process quality models,Robotic Process Automation (RPA),https://www.coursera.org/specializations/roboticprocessautomation
ICT project management,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
ICT project management methodologies,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
ICT quality policy,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
ICT recovery techniques,Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
ICT safety,Patient Safety,https://www.coursera.org/specializations/patient-safety
ICT sales methodologies,Strategic Sales Management,https://www.coursera.org/specializations/sales-management-bridging-gap-strategy-sales
ICT security legislation,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
ICT security standards,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
ICT software specifications,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
ICT system integration,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
ICT system programming,Python for Everybody,https://www.coursera.org/specializations/python
ICT system user requirements,Operating Systems and You: Becoming a Power User,https://www.coursera.org/learn/os-power-user
"Identifying Objects, Actions, and Events",Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Informatica PowerCenter,Microsoft Power BI Data Analyst,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
"Inspecting Equipment, Structures, or Materials",Data Structures and Algorithms,https://www.coursera.org/specializations/data-structures-algorithms
Installation,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support
Instructing,"TESOL Certificate, Part 1: Teach English Now!",https://www.coursera.org/specializations/tesol
International Convention for the Prevention of Pollution from Ships,Python for Everybody,https://www.coursera.org/specializations/python
Internet of Things,An Introduction to Programming the Internet of Things (IOT),https://www.coursera.org/specializations/iot
Interpreting the Meaning of Information for Others,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
Iterative development,IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
JSSS,Genomic Data Science,https://www.coursera.org/specializations/genomic-data-science
Java (computer programming),Java Programming and Software Engineering Fundamentals,https://www.coursera.org/specializations/java-programming
JavaScript,"Introduction to HTML, CSS, & JavaScript",https://www.coursera.org/learn/introduction-html-css-javascript
JavaScript Framework,JavaScript for Beginners,https://www.coursera.org/specializations/javascript-beginner
Jenkins (tools for software configuration management),Software Product Management,https://www.coursera.org/specializations/product-management
John The Ripper (penetration testing tool),"Penetration Testing, Threat Hunting, and Cryptography",https://www.coursera.org/learn/ibm-penetration-testing-threat-hunting-cryptography
Joomla,PostgreSQL for Everybody,https://www.coursera.org/specializations/postgresql-for-everybody
"Judging the Qualities of Objects, Services, or People",Leading People and Teams,https://www.coursera.org/specializations/leading-teams
Judgment and Decision Making,Effective Problem-Solving and Decision-Making,https://www.coursera.org/learn/problem-solving
KDevelop,Advanced Embedded Linux Development,https://www.coursera.org/specializations/advanced-embedded-linux-development
Kali Linux,Kali Linux,https://www.coursera.org/learn/kali-linux
LAMS,Foundations of Data Structures and Algorithms,https://www.coursera.org/specializations/boulder-data-structures-algorithms
LDAP,IBM Data Architecture,https://www.coursera.org/professional-certificates/ibm-data-architect
LESS,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
LINQ,.NET FullStack Developer,https://www.coursera.org/specializations/dot-net-fullstack
Learning Strategies,Deep Learning,https://www.coursera.org/specializations/deep-learning
Lisp,GPU Programming,https://www.coursera.org/specializations/gpu-programming
Litmos,Meta iOS Developer,https://www.coursera.org/professional-certificates/meta-ios-developer
MATLAB,Mathematics for Engineers,https://www.coursera.org/specializations/mathematics-engineers
MDX,Medical Billing and Coding Fundamentals,https://www.coursera.org/specializations/medical-billing-coding-fundamentals
ML (computer programming),Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
Making Decisions and Solving Problems,Effective Problem-Solving and Decision-Making,https://www.coursera.org/learn/problem-solving
Maltego,"Liderazgo, Motivación y Gestión de Recursos Humanos",https://www.coursera.org/specializations/liderazgo-motivacion-gestion-recursos-humanos
Management of Financial Resources,Financial Management,https://www.coursera.org/specializations/financial-management
Management of Material Resources,Human Resource Management: HR for People Managers,https://www.coursera.org/specializations/human-resource-management
Management of Personnel Resources,Human Resource Management: HR for People Managers,https://www.coursera.org/specializations/human-resource-management
MarkLogic,Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
Mathematics,Mathematics for Engineers,https://www.coursera.org/specializations/mathematics-engineers
Metasploit,Meta Front-End Developer,https://www.coursera.org/professional-certificates/meta-front-end-developer
Microsoft Access,Competencias digitales de ofimática: Microsoft Access,https://www.coursera.org/learn/competencias-digitales-access
Microsoft Visio,Data and Business Process Modeling with Microsoft Visio,https://www.coursera.org/learn/data-and-business-process-modeling-with-microsoft-visio
Microsoft Visual C++,Microsoft 365 Fundamentals,https://www.coursera.org/specializations/microsoft-365-fundamentals
Monitoring,Project - Monitoring and Control,https://www.coursera.org/learn/project---monitoring-and-control
"Monitoring Processes, Materials, or Surroundings",Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Monitoring and Controlling Resources,Human Resource Management: HR for People Managers,https://www.coursera.org/specializations/human-resource-management
Monte Carlo simulation,Leverage Data Science for a More Agile Supply Chain,https://www.coursera.org/specializations/leverage-data-science-agile-supply-chain
Moodle,Meta Front-End Developer,https://www.coursera.org/professional-certificates/meta-front-end-developer
MySQL,Excel to MySQL: Analytic Techniques for Business,https://www.coursera.org/specializations/excel-mysql
N1QL,The Complete Quantum Computing Course for Beginners,https://www.coursera.org/specializations/packt-the-complete-quantum-computing-course-for-beginners
Negotiation,"Negotiation, Mediation and Conflict Resolution",https://www.coursera.org/specializations/negotiation-mediation-conflict-resolution
Nessus,C# Programming for Unity Game Development,https://www.coursera.org/specializations/programming-unity-game-development
Nexpose,ChatGPT + Excel: AI-Enhanced Data Analysis & Insight,https://www.coursera.org/specializations/chatgpt-excel
NoSQL,Introduction to NoSQL Databases,https://www.coursera.org/learn/introduction-to-nosql-databases
OWASP ZAP,OWASP Top 10 - 2021,https://www.coursera.org/specializations/owasp-top-10-2021
ObjectStore,Object Oriented Programming in Java,https://www.coursera.org/specializations/object-oriented-programming
Objective-C,Introductory C Programming,https://www.coursera.org/specializations/c-programming
Octopus Deploy,IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
OmniPage,Desarrollador front-end de Meta,https://www.coursera.org/professional-certificates/meta-front-end-developer-es
Open source model,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
OpenEdge Advanced Business Language,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
OpenEdge Database,Google Cloud Database Engineer,https://www.coursera.org/specializations/google-cloud-database-engineer
"Operating Vehicles, Mechanized Devices, or Equipment",Electric Vehicles and Mobility,https://www.coursera.org/learn/electric-vehicles-mobility
Operation and Control,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Operations Analysis,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Operations Monitoring,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
Oracle Application Development Framework,Oracle Cloud Infrastructure Foundations,https://www.coursera.org/learn/oraclecloud-infrastructure-foundations
Oracle Data Integrator,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Oracle Relational Database,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
Oracle Warehouse Builder,Oracle SQL Databases,https://www.coursera.org/specializations/oracle-sql-databases
Oracle WebLogic,Oracle SQL Databases,https://www.coursera.org/specializations/oracle-sql-databases
"Organizing, Planning, and Prioritizing Work",Project Planning: Putting It All Together,https://www.coursera.org/learn/project-planning-google
Outsourcing model,Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
PHP,Web Applications for Everybody,https://www.coursera.org/specializations/web-applications
Parrot Security OS,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
Pascal (computer programming),Python for Everybody,https://www.coursera.org/specializations/python
Pentaho Data Integration,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Performing Administrative Activities,Microsoft Power BI Data Analyst,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
Performing General Physical Activities,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
Performing for or Working Directly with the Public,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Perl,"C, Go, and C++: A Comprehensive Introduction to Programming",https://www.coursera.org/specializations/c-go-c-plus-plus
Persuasion,Good with Words: Writing and Editing,https://www.coursera.org/specializations/good-with-words
PostgreSQL,PostgreSQL for Everybody,https://www.coursera.org/specializations/postgresql-for-everybody
Prince2 project management,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
Process-based management,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
Processing Information,Natural Language Processing,https://www.coursera.org/specializations/natural-language-processing
Programming,GPU Programming,https://www.coursera.org/specializations/gpu-programming
Project Anarchy,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
Prolog (computer programming),Python 3 Programming,https://www.coursera.org/specializations/python-3-programming
Prototyping development,IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
Providing Consultation and Advice to Others,Deep Learning,https://www.coursera.org/specializations/deep-learning
Puppet (tools for software configuration management),Software Product Management,https://www.coursera.org/specializations/product-management
Python (computer programming),Python 3 Programming,https://www.coursera.org/specializations/python-3-programming
QlikView Expressor,Microsoft Power BI Data Analyst,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
Quality Control Analysis,Quality Improvement and Management,https://www.coursera.org/learn/quality-improvement-and-management
R,Statistical Analysis with R for Public Health,https://www.coursera.org/specializations/statistical-analysis-r-public-health
RAGE (digital game creation systems),Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
Rapid application development,Meta Front-End Developer,https://www.coursera.org/professional-certificates/meta-front-end-developer
Reading Comprehension,Chinese for Beginners,https://www.coursera.org/learn/learn-chinese
Repairing,"Modern Robotics: Mechanics, Planning, and Control",https://www.coursera.org/specializations/modernrobotics
Repairing and Maintaining Electronic Equipment,Introduction to Electronics,https://www.coursera.org/learn/electronics
Repairing and Maintaining Mechanical Equipment,"Modern Robotics: Mechanics, Planning, and Control",https://www.coursera.org/specializations/modernrobotics
Resolving Conflicts and Negotiating with Others,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
Ruby (computer programming),Java Programming and Software Engineering Fundamentals,https://www.coursera.org/specializations/java-programming
SAP Data Services,SAP Technology Consultant,https://www.coursera.org/professional-certificates/sap-technology-consultant
SAP R3,SAP Technology Consultant,https://www.coursera.org/professional-certificates/sap-technology-consultant
SAS Data Management,SAS Programmer,https://www.coursera.org/professional-certificates/sas-programming
SAS language,SAS Programmer,https://www.coursera.org/professional-certificates/sas-programming
SPARK,"NoSQL, Big Data, and Spark Foundations",https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations
SPARQL,PostgreSQL for Everybody,https://www.coursera.org/specializations/postgresql-for-everybody
SQL,Microsoft Power BI Data Analyst,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
SQL Server,SQL: A Practical Introduction for Querying Databases,https://www.coursera.org/learn/sql-practical-introduction-for-querying-databases
SQL Server Integration Services,SQL: A Practical Introduction for Querying Databases,https://www.coursera.org/learn/sql-practical-introduction-for-querying-databases
STAF,TensorFlow: Advanced Techniques,https://www.coursera.org/specializations/tensorflow-advanced-techniques
Sakai,Google データアナリティクス,https://www.coursera.org/professional-certificates/data-analytics-japanese
Salt (tools for software configuration management),Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
Samurai Web Testing Framework,Django Web Framework,https://www.coursera.org/learn/django-web-framework
Sass,"HTML, CSS, and Javascript for Web Developers",https://www.coursera.org/specializations/html-css-javascript-for-web-developers
Scala,Functional Programming in Scala,https://www.coursera.org/specializations/scala
Scheduling Work and Activities,Construction Scheduling,https://www.coursera.org/learn/construction-scheduling
Schoology,Academic English: Writing,https://www.coursera.org/specializations/academic-english
Science,"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai
Scratch (computer programming),Programming with Scratch,https://www.coursera.org/learn/programming-with-scratch
Selling or Influencing Others,Influencing People,https://www.coursera.org/learn/influencing-people
Service Orientation,Customer Service Fundamentals,https://www.coursera.org/learn/customer-service-fundamentals
Shiva (digital game creation systems),Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
SketchBook Pro,Adobe Content Creator,https://www.coursera.org/professional-certificates/adobe-content-creator
Smalltalk (computer programming),Python 3 Programming,https://www.coursera.org/specializations/python-3-programming
Social Perceptiveness,Meta Social Media Marketing,https://www.coursera.org/professional-certificates/facebook-social-media-marketing
Solidity,Solidity Mastery: Foundations to Advanced Smart Contracts,https://www.coursera.org/specializations/packt-solidity-mastery-foundations-to-advanced-smart-contracts
Source (digital game creation systems),Game Design: Art and Concepts,https://www.coursera.org/specializations/game-design
Speaking,Dynamic Public Speaking,https://www.coursera.org/specializations/public-speaking
Spiral development,Meta Front-End Developer,https://www.coursera.org/professional-certificates/meta-front-end-developer
Staffing Organizational Units,Organizational Leadership,https://www.coursera.org/specializations/organizational-leadership
Swift (computer programming),Swift 5 iOS Application Developer,https://www.coursera.org/specializations/swift-5-ios-app-developer
Synfig,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",https://www.coursera.org/learn/global-sustainable-development
Systems Analysis,Control Systems Analysis: Modeling of Dynamic Systems,https://www.coursera.org/learn/modeling-feedback-systems
Systems Evaluation,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
THC Hydra,Drug Hunting: The Science of Making New Medicines,https://www.coursera.org/specializations/drug-hunting-discovery-and-development
Taleo,Desarrollador de Meta de IOS,https://www.coursera.org/professional-certificates/meta-ios-developer-es
Technology Design,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
Teradata Database,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
Thinking Creatively,Creative Thinking Tools for Success and Leadership,https://www.coursera.org/specializations/creative-thinking-tools-for-success-and-leadership-specialization-imperial
Time Management,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",https://www.coursera.org/learn/work-smarter-not-harder
Training and Teaching Others,Uncommon Sense Teaching,https://www.coursera.org/specializations/uncommon-sense-teaching-certificate
TripleStore,IBM Data Warehouse Engineer,https://www.coursera.org/professional-certificates/data-warehouse-engineering
Troubleshooting,Troubleshooting and Debugging Techniques,https://www.coursera.org/learn/troubleshooting-debugging-techniques
TypeScript,Learn Typescript,https://www.coursera.org/learn/learn-typescript
Unity (digital game creation systems),Game Design and Development with Unity,https://www.coursera.org/specializations/game-design-and-development
Unreal Engine,Epic Games Game Design,https://www.coursera.org/professional-certificates/epic-games-game-design-professional-certificate
Updating and Using Relevant Knowledge,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
VBScript,IBM Full-Stack JavaScript Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer
Vagrant,Generative Adversarial Networks (GANs),https://www.coursera.org/specializations/generative-adversarial-networks-gans
Visual Basic,Introduction to Computer Programming with Visual Basic,https://www.coursera.org/specializations/visual-basic-computer-programming
Vyper,ChatGPT + Zapier: AI-Powered Email Mastery,https://www.coursera.org/specializations/chatgpt-zapier-email
Waterfall development,Meta Front-End Developer,https://www.coursera.org/professional-certificates/meta-front-end-developer
WebCMS,Web Design for Everybody: Basics of Web Development & Coding,https://www.coursera.org/specializations/web-design
WhiteHat Sentinel,Google Cloud Cybersecurity,https://www.coursera.org/professional-certificates/google-cloud-cybersecurity-certificate
WildFly,Developing APIs with Google Cloud's Apigee API Platform,https://www.coursera.org/specializations/apigee-api-gcp
Wireshark,Introduction to TCP/IP,https://www.coursera.org/learn/tcpip
WizIQ,التسويق عبر وسائل التواصل الاجتماعي على فيسبوك,https://www.coursera.org/professional-certificates/al-tasweeq-aabr-wasael-al-tawasol-al-ijtimai
WordPress,Meta Front-End Developer,https://www.coursera.org/professional-certificates/meta-front-end-developer
Working with Computers,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
World Wide Web Consortium standards,Web Design for Everybody: Basics of Web Development & Coding,https://www.coursera.org/specializations/web-design
Writing,Academic English: Writing,https://www.coursera.org/specializations/academic-english
XQuery,SQL: A Practical Introduction for Querying Databases,https://www.coursera.org/learn/sql-practical-introduction-for-querying-databases
Xcode,IBM iOS and Android Mobile App Developer,https://www.coursera.org/professional-certificates/ibm-ios-android-mobile-app-developer-pc
abide by regulations on banned materials,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
acquire system component,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
adapt energy distribution schedules,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
